Game,Series,Date,Total,Event,Prize,Ball1,Ball2,Ball3,Ball4,Ball5,Nu1,Nu2,Nu3,Nu4,Nu5,Nu6, 
今彩539,110000178,2021/07/27,30619950,612399,16882900,03,05,27,30,35,,,,,,,
今彩539,110000179,2021/07/28,33066000,661320,10712150,06,12,17,18,24,,,,,,,
今彩539,110000180,2021/07/29,34109350,682187,18432350,13,20,21,23,25,,,,,,,
今彩539,110000181,2021/07/30,31539750,630795,17047000,06,09,17,27,30,,,,,,,
今彩539,110000182,2021/07/31,31978250,639565,15592600,04,05,17,33,35,,,,,,,
今彩539,110000183,2021/08/02,37929250,758585,16557200,04,24,25,28,33,,,,,,,
今彩539,110000184,2021/08/03,29977250,599545,31551800,05,09,24,25,36,,,,,,,
今彩539,110000185,2021/08/04,32992500,659850,25895800,10,20,32,34,39,,,,,,,
今彩539,110000186,2021/08/05,35112000,702240,9546350,04,06,25,27,29,,,,,,,
今彩539,110000187,2021/08/06,29482200,589644,9822600,04,07,11,18,19,,,,,,,
今彩539,110000188,2021/08/07,30580200,611604,35739250,02,04,08,11,22,,,,,,,
今彩539,110000189,2021/08/09,42696700,853934,20053600,09,12,18,22,38,,,,,,,
今彩539,110000190,2021/08/10,32862400,657248,8486850,08,22,23,29,31,,,,,,,
今彩539,110000191,2021/08/11,36620100,732402,10672050,17,20,28,30,38,,,,,,,
今彩539,110000192,2021/08/12,39682500,793650,27385950,01,03,07,19,30,,,,,,,
今彩539,110000193,2021/08/13,33016300,660326,36734750,05,25,27,35,37,,,,,,,
今彩539,110000194,2021/08/14,35183400,703668,16019550,03,08,18,30,37,,,,,,,
今彩539,110000195,2021/08/16,47424350,948487,14262650,07,10,16,24,34,,,,,,,
今彩539,110000196,2021/08/17,34026700,680534,17041750,03,17,19,35,37,,,,,,,
今彩539,110000197,2021/08/18,38525300,770506,16999000,10,11,15,16,36,,,,,,,
今彩539,110000198,2021/08/19,43456900,869138,40627550,08,12,19,26,38,,,,,,,
今彩539,110000199,2021/08/20,35956850,719137,27138200,01,05,10,31,38,,,,,,,
今彩539,110000200,2021/08/21,37371900,747438,15637000,18,24,29,31,33,,,,,,,
今彩539,110000201,2021/08/23,51966600,1039332,37457300,06,11,24,29,37,,,,,,,
今彩539,110000202,2021/08/24,35646750,712935,14474750,08,17,20,24,27,,,,,,,
今彩539,110000203,2021/08/25,39620100,792402,16847250,14,15,26,31,34,,,,,,,
今彩539,110000204,2021/08/26,34940150,698803,7951250,03,11,32,36,39,,,,,,,
今彩539,110000205,2021/08/27,37297950,745959,34666750,03,18,23,32,33,,,,,,,
今彩539,110000206,2021/08/28,38582900,771658,17723300,02,05,12,32,37,,,,,,,
今彩539,110000207,2021/08/30,39388150,787763,7916100,02,14,24,36,39,,,,,,,
今彩539,110000208,2021/08/31,34578350,691567,34668600,04,15,28,29,35,,,,,,,
今彩539,110000209,2021/09/01,38435900,768718,18332600,07,12,18,19,39,,,,,,,
今彩539,110000210,2021/09/02,34696150,693923,16541250,04,20,27,29,35,,,,,,,
今彩539,110000211,2021/09/03,34793050,695861,18582000,02,08,28,37,38,,,,,,,
今彩539,110000212,2021/09/04,35754250,715085,32638950,08,15,27,33,35,,,,,,,
今彩539,110000213,2021/09/06,37951400,759028,18217000,04,09,22,26,39,,,,,,,
今彩539,110000214,2021/09/07,34058250,681165,34521800,01,07,15,17,38,,,,,,,
今彩539,110000215,2021/09/08,37565100,751302,19446900,04,07,12,28,37,,,,,,,
今彩539,110000216,2021/09/09,34209350,684187,17508950,04,12,20,23,27,,,,,,,
今彩539,110000217,2021/09/10,35486650,709733,27232200,03,08,17,25,39,,,,,,,
今彩539,110000218,2021/09/11,38763100,775262,18177200,04,06,12,14,25,,,,,,,
今彩539,110000219,2021/09/13,36741400,734828,17062650,03,06,09,32,39,,,,,,,
今彩539,110000220,2021/09/14,34021200,680424,32953550,02,06,17,19,38,,,,,,,
今彩539,110000221,2021/09/15,36875350,737507,16202450,01,03,06,19,32,,,,,,,
今彩539,110000222,2021/09/16,33550750,671015,9174350,07,12,16,19,33,,,,,,,
今彩539,110000223,2021/09/17,35820150,716403,18013900,01,17,23,30,34,,,,,,,
今彩539,110000224,2021/09/18,36931550,738631,17104550,01,05,12,22,34,,,,,,,
今彩539,110000225,2021/09/20,35930050,718601,12150500,10,11,31,35,39,,,,,,,
今彩539,110000226,2021/09/21,34355600,687112,23142050,10,18,29,31,34,,,,,,,
今彩539,110000227,2021/09/22,35567100,711342,8433800,15,18,19,20,35,,,,,,,
今彩539,110000228,2021/09/23,32312600,646252,17229500,05,12,22,32,36,,,,,,,
今彩539,110000229,2021/09/24,34064300,681286,31904900,02,03,30,33,34,,,,,,,
今彩539,110000230,2021/09/25,35208200,704164,8978400,04,15,16,23,30,,,,,,,
今彩539,110000231,2021/09/27,36358200,727164,33542400,01,14,28,29,30,,,,,,,
今彩539,110000232,2021/09/28,32792850,655857,25573750,03,09,28,32,35,,,,,,,
今彩539,110000233,2021/09/29,35873750,717475,34154850,02,03,11,19,38,,,,,,,
今彩539,110000234,2021/09/30,33298750,665975,33778150,06,07,19,23,35,,,,,,,
